iteration,loss,augmented_lagrangian_loss,x_test_loss,y_test_loss
0,38106.796875,39263.92578125,17.70431900024414,40.14253234863281
1,37769.640625,40018.28515625,17.690828323364258,40.17249298095703
2,37431.7890625,40749.87109375,17.689002990722656,40.22536849975586
3,37093.203125,41452.62109375,17.698192596435547,40.298648834228516
4,36753.90234375,42120.69921875,17.717214584350586,40.38922882080078
5,36413.93359375,42748.41796875,17.745046615600586,40.49668502807617
6,36073.1484375,43330.1484375,17.780942916870117,40.6188850402832
7,35731.61328125,43860.6171875,17.82421875,40.754581451416016
8,35389.23828125,44334.5703125,17.874242782592773,40.90242004394531
9,35046.26171875,44747.4140625,17.930757522583008,41.06124496459961
10,34702.7890625,45094.57421875,17.992916107177734,41.22999572753906
11,34358.875,45371.80859375,18.06008529663086,41.40672302246094
12,34014.64453125,45575.05078125,18.131742477416992,41.59130096435547
13,33670.25390625,45700.65234375,18.207338333129883,41.78233337402344
14,33325.890625,45745.5,18.285964965820312,41.97856140136719
15,32981.734375,45706.08203125,18.367511749267578,42.180057525634766
16,32637.974609375,45579.65234375,18.450315475463867,42.38627243041992
17,32294.96484375,45364.30078125,18.534921646118164,42.59543228149414
18,31952.8671875,45057.73046875,18.621763229370117,42.80756378173828
19,31611.91015625,44657.88671875,18.710607528686523,43.022186279296875
20,31272.44140625,44163.453125,18.801345825195312,43.23673629760742
21,30934.814453125,43573.14453125,18.892148971557617,43.45246505737305
22,30599.169921875,42885.7734375,18.982929229736328,43.66886901855469
23,30265.81640625,42101.015625,19.07314682006836,43.88628387451172
24,29935.06640625,41218.10546875,19.164104461669922,44.10382843017578
25,29607.29296875,40238.2734375,19.254638671875,44.32088851928711
26,29282.7890625,39161.55859375,19.345457077026367,44.53763198852539
27,28961.861328125,37987.54296875,19.436988830566406,44.75461959838867
28,28644.861328125,36718.15625,19.52869987487793,44.9703254699707
29,28332.244140625,35356.7265625,19.62038230895996,45.18299865722656
30,28024.240234375,33902.74609375,19.711641311645508,45.395084381103516
31,27721.021484375,32357.482421875,19.80221939086914,45.606327056884766
32,27422.83203125,30722.296875,19.891687393188477,45.8167724609375
33,27130.1484375,29000.0390625,19.979385375976562,46.025352478027344
34,26842.921875,27192.693359375,20.065792083740234,46.2331428527832
35,26561.376953125,25301.72265625,20.151329040527344,46.43958282470703
36,26285.7421875,23327.703125,20.237247467041016,46.64586639404297
37,26016.15625,21271.6953125,20.32280921936035,46.85224914550781
38,25752.75390625,19136.744140625,20.40595817565918,47.05887985229492
39,25495.66796875,16924.69921875,20.489023208618164,47.266788482666016
40,25245.00390625,14637.3330078125,20.5731201171875,47.47557830810547
41,25000.84765625,12276.0927734375,20.65825080871582,47.683380126953125
42,24763.015625,9843.7314453125,20.74376106262207,47.89261245727539
43,24531.52734375,7344.185546875,20.82919692993164,48.10161590576172
44,24306.26171875,4777.494140625,20.914424896240234,48.29842758178711
45,24087.201171875,2144.535888671875,21.000825881958008,48.495269775390625
46,23873.99609375,-552.7718505859375,21.087852478027344,48.68907928466797
47,23666.34375,-3312.882568359375,21.17357635498047,48.88648223876953
48,23464.029296875,-6134.279296875,21.257179260253906,49.08720397949219
49,23266.84765625,-9014.1884765625,21.331029891967773,49.28926086425781
50,23074.40234375,-11951.4345703125,21.390735626220703,49.49534225463867
51,22886.236328125,-14947.943359375,21.453126907348633,49.70534133911133
52,22701.880859375,-18002.58203125,21.517969131469727,49.92162322998047
53,22520.935546875,-21119.349609375,21.586631774902344,50.145118713378906
54,22342.861328125,-24298.041015625,21.65894317626953,50.377052307128906
55,22167.185546875,-27540.39453125,21.736011505126953,50.6153450012207
56,21993.4296875,-30848.46484375,21.818449020385742,50.85755157470703
57,21821.005859375,-34223.44921875,21.906675338745117,51.109806060791016
58,21649.455078125,-37665.71484375,22.002254486083984,51.37133026123047
59,21478.466796875,-41177.08984375,22.1058349609375,51.64091873168945
60,21308.005859375,-44756.609375,22.218427658081055,51.916072845458984
61,21138.248046875,-48409.3203125,22.341896057128906,52.19279861450195
62,20969.8359375,-52139.62890625,22.47626495361328,52.4652099609375
63,20804.22265625,-55950.6875,22.622739791870117,52.722557067871094
64,20643.203125,-59844.39453125,22.785120010375977,52.941810607910156
65,20487.50390625,-63824.12109375,22.964481353759766,53.108985900878906
66,20336.439453125,-67895.796875,23.16170310974121,53.22184371948242
67,20188.8359375,-72070.4375,23.373971939086914,53.288082122802734
68,20048.3671875,-76349.5390625,23.590055465698242,53.319793701171875
69,19933.927734375,-80717.5234375,23.7604923248291,53.333133697509766
70,19853.14453125,-85173.625,23.73705291748047,53.33901596069336
