iteration,loss,augmented_lagrangian_loss,x_test_loss,y_test_loss
0,44436.8671875,60860.484375,22.679658889770508,41.44854736328125
1,44022.59375,70852.3515625,22.576154708862305,41.18794250488281
2,43586.70703125,80163.5703125,22.47410774230957,40.942970275878906
3,43130.9921875,88612.875,22.373991012573242,40.71617889404297
4,42657.56640625,96038.8359375,22.276376724243164,40.5096549987793
5,42169.23046875,102303.078125,22.181751251220703,40.31968688964844
6,41668.9453125,107292.3828125,22.09088134765625,40.15373229980469
7,41159.9296875,110920.578125,22.00417709350586,40.0144157409668
8,40645.74609375,113130.1796875,21.922229766845703,39.90341567993164
9,40130.28515625,113893.0078125,21.83953857421875,39.82178497314453
10,39617.40625,113210.203125,21.754846572875977,39.77015686035156
11,39111.17578125,111111.8671875,21.67649269104004,39.749732971191406
12,38615.359375,107655.8125,21.60495948791504,39.75265884399414
13,38133.609375,102926.03125,21.54061508178711,39.775638580322266
14,37669.48046875,97030.8359375,21.483135223388672,39.82707977294922
15,37226.2265625,90100.0703125,21.431678771972656,39.90565490722656
16,36806.58984375,82282.078125,21.38385772705078,40.00978469848633
17,36412.7890625,73740.4296875,21.33197784423828,40.137306213378906
18,36046.78125,64650.703125,21.28695297241211,40.28689193725586
19,35709.97265625,55196.546875,21.2487735748291,40.456424713134766
20,35402.92578125,45565.578125,21.217098236083984,40.64387893676758
21,35125.421875,35945.6640625,21.19155502319336,40.84672546386719
22,34877.03125,26521.712890625,21.171977996826172,41.0632209777832
23,34656.30078125,17471.25,21.15779685974121,41.290992736816406
24,34461.59765625,8961.8095703125,21.14922332763672,41.527915954589844
25,34290.66796875,1147.324462890625,21.14548110961914,41.77241897583008
26,34140.80078125,-5834.5673828125,21.14615821838379,42.02223205566406
27,34008.93359375,-11864.9423828125,21.150774002075195,42.275718688964844
28,33891.640625,-16845.68359375,21.158700942993164,42.531776428222656
29,33785.375,-20700.8984375,21.1695499420166,42.78866958618164
30,33686.58984375,-23377.95703125,21.182891845703125,43.0447883605957
31,33591.8359375,-24848.1171875,21.19843101501465,43.29782485961914
32,33497.71484375,-25106.982421875,21.216064453125,43.54841995239258
33,33400.83203125,-24174.091796875,21.235206604003906,43.79539108276367
34,33298.06640625,-22092.12890625,21.2554931640625,44.03752517700195
35,33186.578125,-18925.701171875,21.276647567749023,44.27464294433594
36,33063.84375,-14759.6103515625,21.29836082458496,44.506317138671875
37,32927.7578125,-9697.193359375,21.320384979248047,44.73245620727539
38,32776.7109375,-3857.558349609375,21.342578887939453,44.952552795410156
